school,Students
ANKYI,41
CCAAW,109
CIMBB,74
CUQAM,107
DNQDD,122
FBUMG,46
GJJHK,118
GOKXL,64
GOOBU,158
IDGFP,94
KFZMY,52
KZKKE,111
LAYPA,57
OJOBU,81
QOQTS,149
UAGPU,87
UKPGS,128
UUUQX,84
VHDHF,51
VKWQH,100
VVTVA,114
ZMNYA,69
ZOWMK,117
